"loanamount","Population","loantype"
3,303,"Conventional"
220,812,"Conventional"
322,597,"FHA"
302,646,"Conventional"
26,37,"Conventional"
172,535,"Conventional"
713,241,"Conventional"
4,572,"Conventional"
381,628,"Conventional"
250,288,"Conventional"
396,914,"Conventional"
10,602,"Conventional"
226,441,"Conventional"
128,309,"Conventional"
10,813,"Conventional"
198,958,"Conventional"
496,914,"Conventional"
792,668,"Conventional"
200,282,"Conventional"
414,620,"Conventional"
286,785,"Conventional"
248,812,"Conventional"
422,930,"VA"
29,512,"Conventional"
500,629,"FHA"
170,549,"Conventional"
734,32,"VA"
275,886,"FHA"
348,538,"FHA"
86,957,"Conventional"
234,906,"Conventional"
157,411,"FHA"
495,774,"Conventional"
898,759,"VA"
200,966,"Conventional"
216,965,"FHA"
194,675,"FHA"
196,267,"FHA"
260,531,"Conventional"
9,954,"Conventional"
343,486,"Conventional"
320,852,"VA"
416,927,"VA"
416,925,"Conventional"
265,822,"Conventional"
165,727,"Conventional"
423,513,"VA"
690,651,"FHA"
410,549,"Conventional"
409,881,"VA"
354,708,"FHA"
430,896,"VA"
400,651,"Conventional"
299,73,"Conventional"
223,835,"Conventional"
419,529,"FHA"
636,218,"FHA"
375,809,"VA"
252,407,"Conventional"
329,385,"FHA"
537,632,"FHA"
366,548,"Conventional"
365,119,"Conventional"
355,960,"VA"
265,440,"FHA"
383,884,"FHA"
545,169,"Conventional"
100,922,"Conventional"
10,728,"Conventional"
753,261,"Conventional"
304,565,"Conventional"
313,631,"Conventional"
321,50,"VA"
554,784,"Conventional"
574,704,"FHA"
575,112,"Conventional"
466,233,"VA"
314,485,"Conventional"
336,672,"FHA"
375,353,"Conventional"
164,768,"Conventional"
245,766,"Conventional"
188,886,"Conventional"
570,944,"Conventional"
333,657,"Conventional"
448,642,"VA"
415,91,"Conventional"
700,828,"Conventional"
301,485,"FHA"
182,376,"Conventional"
35,794,"Conventional"
250,867,"Conventional"
464,892,"Conventional"
695,845,"Conventional"
353,797,"FHA"
222,593,"Conventional"
304,835,"FHA"
454,863,"Conventional"
332,767,"VA"
232,127,"FHA"
607,825,"Conventional"
171,528,"Conventional"
467,964,"Conventional"
58,580,"Conventional"
558,688,"Conventional"
335,918,"Conventional"
278,537,"Conventional"
22,784,"Conventional"
220,886,"Conventional"
369,814,"Conventional"
417,897,"Conventional"
309,504,"Conventional"
314,181,"FHA"
400,622,"Conventional"
417,825,"Conventional"
600,841,"Conventional"
598,639,"Conventional"
572,178,"Conventional"
343,23,"Conventional"
236,820,"Conventional"
178,242,"Conventional"
424,680,"Conventional"
299,956,"Conventional"
470,113,"Conventional"
336,592,"VA"
347,271,"FHA"
485,651,"VA"
220,397,"Conventional"
181,641,"Conventional"
270,484,"Conventional"
100,623,"Conventional"
